GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate
54001,2000,Barbour County,West Virginia,15557,22.56,1308,21.36,330,24729,56100,28.6,97.03,0.49,0.47,0.71,0.26,0.01,1.01,0.01,3,3,0.23,0.23
54001,2001,Barbour County,West Virginia,15557,22.56,1331,21.36,330,24729,56100,28.6,97.03,0.49,0.47,0.71,0.26,0.01,1.01,0.01,3,2,0.15,0.23
54001,2002,Barbour County,West Virginia,15557,22.56,1354,21.36,330,24729,56100,28.6,97.03,0.49,0.47,0.71,0.26,0.01,1.01,0.01,0,0,0,0
54001,2003,Barbour County,West Virginia,15557,22.56,1377,21.36,330,24729,56100,28.6,97.03,0.49,0.47,0.71,0.26,0.01,1.01,0.01,1,1,0.07,0.07
54001,2004,Barbour County,West Virginia,15557,22.56,1400,21.36,330,24729,56100,28.6,97.03,0.49,0.47,0.71,0.26,0.01,1.01,0.01,10,10,0.71,0.71
54001,2005,Barbour County,West Virginia,15522,17.35,1423,26.81,483,30875,76700,33.8,96.51,0.52,0.39,0.91,0.21,0,1.46,0,5,5,0.35,0.35
54001,2006,Barbour County,West Virginia,15522,17.35,1446,26.81,483,30875,76700,33.8,96.51,0.52,0.39,0.91,0.21,0,1.46,0,0,0,0,0
54001,2007,Barbour County,West Virginia,15522,17.35,1469,26.81,483,30875,76700,33.8,96.51,0.52,0.39,0.91,0.21,0,1.46,0,16,16,1.09,1.09
54001,2008,Barbour County,West Virginia,15522,17.35,1492,26.81,483,30875,76700,33.8,96.51,0.52,0.39,0.91,0.21,0,1.46,0,26,26,1.74,1.74
54001,2009,Barbour County,West Virginia,15522,17.35,1515,26.81,483,30875,76700,33.8,96.51,0.52,0.39,0.91,0.21,0,1.46,0,12,10,0.66,0.79
54001,2010,Barbour County,West Virginia,16589,13.04,1538,23.49,514,36087,85900,28.5,96.48,0.72,0.58,0.55,0.2,0.02,1.41,0.04,16,16,1.04,1.04
54001,2011,Barbour County,West Virginia,16731,16.07,1583,27.07,540,37066,92600,29.6,96.14,0.84,0.74,0.52,0.38,0,1.36,0.03,29,29,1.83,1.83
54001,2012,Barbour County,West Virginia,16731,16.07,1627,27.07,540,37066,92600,29.6,96.14,0.84,0.74,0.52,0.38,0,1.36,0.03,11,11,0.68,0.68
54001,2013,Barbour County,West Virginia,16731,16.07,1672,27.07,540,37066,92600,29.6,96.14,0.84,0.74,0.52,0.38,0,1.36,0.03,30,29,1.73,1.79
54001,2014,Barbour County,West Virginia,16731,16.07,1716,27.07,540,37066,92600,29.6,96.14,0.84,0.74,0.52,0.38,0,1.36,0.03,31,31,1.81,1.81
54001,2015,Barbour County,West Virginia,16731,16.07,1761,27.07,540,37066,92600,29.6,96.14,0.84,0.74,0.52,0.38,0,1.36,0.03,28,25,1.42,1.59
54001,2016,Barbour County,West Virginia,16731,16.07,1805,27.07,540,37066,92600,29.6,96.14,0.84,0.74,0.52,0.38,0,1.36,0.03,32,23,1.27,1.77
